ID,Nom,Images,gps,afficheur,infraction_publicite,infraction_enseigne,infraction_rlpi,commentaire,Catégories (libellés),categories_ids,Latitude,Longitude,Numéro,Rue,Ville,Code postal,Créé le,Mise à jour le 
TX,85-BSM-01,https://agence581.gogocarto.fr/uploads/agence581/images/elements/20250425-140714.jpg,,,"dispositif publicitaire au sol dans une agglomération de moins de 10 000 habitants hors unité urbaine de plus de 100 000 habitants <BR>Article R. 581-31 <i> «Les dispositifs publicitaires non lumineux, scellés au sol ou installés directement sur le sol sont interdits dans les agglomérations de moins de 10 000 habitants ne faisant pas partie d’une unité urbaine de plus de 100 000 habitants.» </i><BR>NATINF 2387 C4 <BR>Amende pénale : Personne physique 750 € Personne morale 3750 € <BR>",,,"Beauvoir-sur-Mer
Code Postal : 85230
3955 habitants
Intercommunalité : Challans-Gois Communauté
Ville isolée, hors unité urbaine

Photo du vendredi 25 avril 2025, après-midi","Publicité ou préenseigne, sur panneau, au sol","29,1,14",46.925443261577,-2.0407319068909,46,Rue de Nantes,Beauvoir-sur-Mer,85230,"Mon, 28 Apr 2025 19:00:21 +0200","Mon, 28 Apr 2025 19:00:21 +0200"
TY,85-BSM-02,https://agence581.gogocarto.fr/uploads/agence581/images/elements/20250425-140714.jpg,,,"dispositif publicitaire au sol dans une agglomération de moins de 10 000 habitants hors unité urbaine de plus de 100 000 habitants <BR>Article R. 581-31 <i> «Les dispositifs publicitaires non lumineux, scellés au sol ou installés directement sur le sol sont interdits dans les agglomérations de moins de 10 000 habitants ne faisant pas partie d’une unité urbaine de plus de 100 000 habitants.» </i><BR>NATINF 2387 C4 <BR>Amende pénale : Personne physique 750 € Personne morale 3750 € <BR>",,,"Beauvoir-sur-Mer
Code Postal : 85230
3955 habitants
Intercommunalité : Challans-Gois Communauté
Ville isolée, hors unité urbaine

Photo du vendredi 25 avril 2025, après-midi","Publicité ou préenseigne, sur panneau, au sol","29,1,14",46.92545058883,-2.0407372713089,46,Rue de Nantes,Beauvoir-sur-Mer,85230,"Mon, 28 Apr 2025 19:01:53 +0200","Mon, 28 Apr 2025 19:03:15 +0200"
TZ,85-BSM-03,https://agence581.gogocarto.fr/uploads/agence581/images/elements/20250425-141035.jpg,,,"dispositif publicitaire au sol dans une agglomération de moins de 10 000 habitants hors unité urbaine de plus de 100 000 habitants <BR>Article R. 581-31 <i> «Les dispositifs publicitaires non lumineux, scellés au sol ou installés directement sur le sol sont interdits dans les agglomérations de moins de 10 000 habitants ne faisant pas partie d’une unité urbaine de plus de 100 000 habitants.» </i><BR>NATINF 2387 C4 <BR>Amende pénale : Personne physique 750 € Personne morale 3750 € <BR>",,,"Beauvoir-sur-Mer
Code Postal : 85230
3955 habitants
Intercommunalité : Challans-Gois Communauté
Ville isolée, hors unité urbaine

Photo du vendredi 25 avril 2025, après-midi","Publicité ou préenseigne, sur panneau, au sol","29,1,14",46.919771667671,-2.0431137084961,44,Rue de Nantes,Beauvoir-sur-Mer,85230,"Mon, 28 Apr 2025 19:05:21 +0200","Mon, 28 Apr 2025 19:05:21 +0200"
Ta,85-BSM-04,https://agence581.gogocarto.fr/uploads/agence581/images/elements/20250425-141153.jpg,,,"dispositif publicitaire au sol dans une agglomération de moins de 10 000 habitants hors unité urbaine de plus de 100 000 habitants <BR>Article R. 581-31 <i> «Les dispositifs publicitaires non lumineux, scellés au sol ou installés directement sur le sol sont interdits dans les agglomérations de moins de 10 000 habitants ne faisant pas partie d’une unité urbaine de plus de 100 000 habitants.» </i><BR>NATINF 2387 C4 <BR>Amende pénale : Personne physique 750 € Personne morale 3750 € <BR>",,,"Beauvoir-sur-Mer
Code Postal : 85230
3955 habitants
Intercommunalité : Challans-Gois Communauté
Ville isolée, hors unité urbaine

Photo du vendredi 25 avril 2025, après-midi","Publicité ou préenseigne, sur panneau, au sol","29,1,14",46.918925273686,-2.0440095663071,46,Rue du Port,Beauvoir-sur-Mer,85230,"Mon, 28 Apr 2025 19:06:48 +0200","Mon, 28 Apr 2025 19:06:48 +0200"
